utc,sub_id,name,episodes,score
2026-08-17T03:43,55565273,v6.0o,6,862.9
2026-08-17T03:43,55565063,v5.12g,9,787.1
2026-08-17T09:43,55565273,v6.0o,34,798.2
2026-08-17T09:43,55565063,v5.12g,33,718.6
2026-08-17T15:43,55565273,v6.0o,50,800.4
2026-08-17T15:43,55565063,v5.12g,52,796.5
2026-08-17T21:43,55565273,v6.0o,59,837.9
2026-08-17T21:43,55565063,v5.12g,59,817.6
2026-08-18T03:43,55565273,v6.0o,63,841.1
2026-08-18T03:43,55565063,v5.12g,64,819.3
2026-08-18T09:43,55565273,v6.0o,66,850.6
2026-08-18T09:43,55565063,v5.12g,68,832.1
2026-08-18T21:05,55565273,v6.0o,77,849.5
2026-08-18T21:05,55565063,v5.12g,80,825.3
2026-08-19T05:02,55565273,v6.0o,83,848.4
2026-08-19T05:02,55565063,v5.12g,86,813.7
2026-08-19T11:02,55565273,v6.0o,88,845.6
2026-08-19T11:02,55565063,v5.12g,93,814.5
2026-08-19T17:02,55565273,v6.0o,95,874.3
2026-08-19T17:02,55565063,v5.12g,99,806.8
2026-08-19T23:02,55565273,v6.0o,0,
2026-08-19T23:02,55565063,v5.12g,0,
2026-08-22T00:45,55565273,v6.0o,306,858.9
2026-08-22T00:45,55565063,v5.12g,318,830.7
2026-08-22T09:35,55565273,v6.0o,336,863.5
2026-08-22T09:35,55565063,v5.12g,351,828.7
2026-08-22T15:37,55565273,v6.0o,364,879.7
2026-08-22T15:37,55565063,v5.12g,371,811.0
2026-08-23T03:04,55565273,v6.0o,413,854.7
2026-08-23T03:04,55565063,v5.12g,418,807.1
2026-08-23T11:35,55565273,v6.0o,451,866.1
2026-08-23T11:35,55565063,v5.12g,451,799.0
2026-08-24T20:52,55565273,v6.0o,581,872.6
2026-08-24T20:52,55565063,v5.12g,579,798.2
2026-08-28T11:50,55565273,v6.0o,947,858.5
2026-08-28T11:50,55565063,v5.12g,940,759.2
2026-08-29T02:55,55565273,v6.0o,1000,875.2
2026-08-29T02:55,55565063,v5.12g,997,777.5
2026-08-29T08:55,55565273,v6.0o,1000,908.6
2026-08-29T08:55,55565063,v5.12g,1000,764.5
2026-08-29T14:55,55565273,v6.0o,0,
2026-08-29T14:55,55565063,v5.12g,0,
2026-08-30T09:31,55565273,v6.0o,1000,900.4
2026-08-30T09:31,55565063,v5.12g,1000,765.0
2026-08-30T15:32,55565273,v6.0o,1000,903.5
2026-08-30T15:32,55565063,v5.12g,1000,789.3
2026-08-31T13:54,55565273,v6.0o,1000,898.9
2026-08-31T13:54,55565063,v5.12g,1000,794.1
2026-08-31T19:54,55565273,v6.0o,1000,888.8
2026-08-31T19:54,55565063,v5.12g,1000,823.1
2026-09-01T01:55,55565273,v6.0o,0,
2026-09-01T01:55,55565063,v5.12g,0,
2026-09-01T07:55,55565273,v6.0o,1000,905.8
2026-09-01T07:55,55565063,v5.12g,1000,834.6
2026-09-01T13:55,55565273,v6.0o,1000,905.8
2026-09-01T13:55,55565063,v5.12g,1000,834.6
2026-09-01T19:55,55565273,v6.0o,0,
2026-09-01T19:55,55565063,v5.12g,0,
2026-09-02T01:55,55565273,v6.0o,1000,905.8
2026-09-02T01:55,55565063,v5.12g,1000,834.6
2026-09-02T07:55,55565273,v6.0o,1000,905.8
2026-09-02T07:55,55565063,v5.12g,1000,834.6
2026-09-03T00:02,55565273,v6.0o,1000,905.8
2026-09-03T00:02,55565063,v5.12g,1000,834.6
2026-09-03T19:54,55565273,v6.0o,1000,905.8
2026-09-03T19:54,55565063,v5.12g,1000,834.6
